28,35,5,31,140
68,# _ # _,21 17 6 19 16 28 12 31 14 25,E
69,# _ # _,21 18 6 20 17 28 13 31 13 25,A
70,# _ # _,21 19 6 21 18 28 14 31 14 25,E
71,# _ # _,21 20 6 22 18 27 15 31 13 25,A
72,# _ # _,21 21 7 22 18 26 15 30 14 25,E
73,# _ # _,21 22 8 22 18 25 15 29 13 25,A
74,# _ # _,22 22 9 22 19 25 15 28 14 25,E
75,# _ # _,23 22 9 21 20 25 16 28 13 25,A
76,# _ # _,24 22 9 20 21 25 17 28 14 25,E
77,# _ # _,25 22 9 19 21 26 18 28 13 25,A
78,# _ # _,26 22 9 18 21 27 18 27 14 25,E
79,# _ # _,26 23 9 17 21 28 18 26 13 25,A
80,# _ # _,26 24 9 16 22 28 18 25 14 25,E
81,# _ # _,26 25 9 15 23 28 17 25 13 25,A
82,# _ # _,25 25 9 14 24 28 16 25 14 25,E
83,# _ # _,24 25 9 13 24 27 15 25 13 25,A
*****
28,35,5,25,50
1,# _ # _,12 13 13 13 14 13 15 13 13 25,A
2,# _ # _,13 13 12 13 15 13 14 13 14 25,A
3,_ _ # _,14 13 12 12 16 13 13 13 15 25,A
4,# _ # _,15 13 12 11 17 13 12 13 16 25,A
5,# _ # _,15 12 12 10 18 13 11 13 17 25,A
6,# _ _ _,15 11 11 10 18 14 10 13 18 25,D
7,_ # _ #,15 10 10 10 18 15 9 13 18 26,D
8,_ # _ #,16 10 9 10 18 16 9 14 18 27,D
9,_ # # _,17 10 9 9 18 17 9 15 18 28,E
10,# _ # _,18 10 9 8 18 18 9 16 17 28,E
11,# _ # _,18 9 9 7 18 19 9 17 16 28,E
12,# _ _ #,18 8 8 7 18 20 9 18 15 28,D
13,_ # _ #,18 7 7 7 18 21 9 19 15 29,D
14,_ # _ #,19 7 6 7 18 22 9 20 15 30,D
15,_ _ # _,20 7 6 6 19 22 9 21 15 31,E
16,# _ # _,21 7 6 5 20 22 9 22 14 31,E
17,# _ # _,21 6 6 4 21 22 8 22 13 31,E
18,_ _ # _,21 5 6 3 21 23 7 22 12 31,C
19,_ # _ #,21 4 5 3 21 24 6 22 12 30,C
20,_ # _ #,21 3 4 3 21 25 6 23 12 29,C
21,# # _ _,22 3 3 3 21 26 6 24 12 28,E
22,# _ # _,23 3 2 3 21 27 6 25 11 28,E
23,# _ # _,24 3 1 3 21 28 7 25 10 28,E
24,_ _ # #,25 3 1 4 22 28 8 25 9 28,C
25,_ # _ #,26 3 1 5 23 28 9 25 9 27,C
*****
28,35,5,67,60
1,# _ # _,12 13 13 13 14 13 15 13 13 25,E
2,_ _ # _,13 13 12 13 15 13 14 13 12 25,E
3,# _ # _,14 13 12 12 16 13 13 13 11 25,E
4,# _ # _,15 13 12 11 17 13 12 13 10 25,E
5,# _ _ _,15 12 12 10 18 13 11 13 9 25,D
6,_ # _ #,15 11 11 10 18 14 10 13 9 26,D
7,_ # _ #,15 10 10 10 18 15 9 13 9 27,D
8,_ _ # #,16 10 9 10 18 16 9 14 9 28,A
9,# _ # _,17 10 9 9 18 17 9 15 10 28,A
10,# _ # _,18 10 9 8 18 18 9 16 11 28,A
11,# # _ _,18 9 9 7 18 19 9 17 12 28,D
12,_ # _ #,18 8 8 7 18 20 9 18 12 29,D
13,_ # _ #,18 7 7 7 18 21 9 19 12 30,D
14,_ _ # _,19 7 6 7 18 22 9 20 12 31,A
15,# _ # _,20 7 6 6 19 22 9 21 13 31,A
16,# _ # _,21 7 6 5 20 22 9 22 14 31,A
17,_ _ # _,21 6 6 4 21 22 8 22 15 31,C
18,_ # _ #,21 5 6 3 21 23 7 22 15 30,C
19,_ # _ #,21 4 5 3 21 24 6 22 15 29,C
20,# _ _ #,21 3 4 3 21 25 6 23 15 28,A
21,# _ # _,22 3 3 3 21 26 6 24 16 28,A
22,# _ # _,23 3 2 3 21 27 6 25 17 28,A
23,_ # # _,24 3 1 3 21 28 7 25 18 28,C
24,_ # _ #,25 3 1 4 22 28 8 25 18 27,C
25,_ # _ #,26 3 1 5 23 28 9 25 18 26,C
26,# _ _ _,26 4 1 6 24 28 10 25 18 25,E
27,# _ # _,26 5 1 7 24 27 11 25 17 25,E
28,# _ # _,26 6 1 8 24 26 12 25 16 25,E
29,_ _ # _,26 7 1 9 24 25 12 24 15 25,E
30,# _ # _,26 8 1 10 25 25 12 23 14 25,E
31,# _ # _,26 9 2 10 26 25 12 22 13 25,E
32,_ _ # _,26 10 3 10 26 24 11 22 12 25,E
33,# _ # _,25 10 4 10 26 23 10 22 11 25,E
34,# _ # _,24 10 5 10 26 22 9 22 10 25,E
35,# _ _ _,23 10 6 10 25 22 8 22 9 25,D
36,_ # _ #,22 10 6 9 24 22 7 22 9 26,D
37,_ # _ #,21 10 6 8 23 22 6 22 9 27,D
38,_ _ # #,21 9 6 7 22 22 6 23 9 28,A
39,# _ # _,21 8 6 6 21 22 6 24 10 28,A
40,# _ # _,21 7 6 5 21 23 6 25 11 28,A
41,# # _ _,21 6 6 4 21 24 6 26 12 28,D
42,_ # _ #,21 5 6 3 21 25 6 27 12 29,D
43,_ # _ #,21 4 5 3 21 26 6 28 12 30,D
44,_ _ # _,21 3 4 3 21 27 5 28 12 31,A
45,# _ # _,22 3 3 3 21 28 4 28 13 31,A
46,# _ # _,23 3 2 3 22 28 3 28 14 31,A
47,_ _ # _,24 3 1 3 23 28 2 28 15 31,C
48,_ # _ #,25 3 1 4 24 28 1 28 15 30,C
49,_ # _ #,26 3 1 5 25 28 1 29 15 29,C
50,# _ _ #,26 4 1 6 26 28 1 30 15 28,A
51,# _ # _,26 5 1 7 26 29 1 31 16 28,A
52,# _ # _,26 6 2 7 26 30 2 31 17 28,A
53,_ # # _,26 7 3 7 26 31 3 31 18 28,C
54,_ # _ #,26 8 4 7 25 31 4 31 18 27,C
55,_ # _ #,26 9 5 7 24 31 5 31 18 26,C
56,# _ _ _,26 10 6 7 23 31 6 31 18 25,E
57,# _ # _,25 10 6 8 22 31 7 31 17 25,E
58,# _ # _,24 10 6 9 21 31 8 31 16 25,E
59,_ _ # _,23 10 6 10 20 31 9 31 15 25,E
60,# _ # _,22 10 6 11 19 31 10 31 14 25,E
61,# _ # _,21 10 6 12 18 31 11 31 13 25,E
62,_ _ # _,21 11 6 13 17 31 12 31 12 25,E
63,# _ # _,21 12 6 14 16 31 12 30 11 25,E
64,# _ # _,21 13 6 15 15 31 12 29 10 25,E
65,# _ _ _,21 14 6 16 14 31 12 28 9 25,D
66,_ # _ #,21 15 6 17 13 31 11 28 9 26,D
67,_ # _ #,21 16 6 18 12 31 10 28 9 27,D
*****
28,35,5,31,56
1,# _ # _,12 13 13 13 14 13 15 13 13 25,E
2,_ _ # _,13 13 12 13 15 13 14 13 12 25,E
3,# _ # _,14 13 12 12 16 13 13 13 11 25,E
4,# _ # _,15 13 12 11 17 13 12 13 10 25,E
5,# _ _ _,15 12 12 10 18 13 11 13 9 25,E
6,# _ # _,15 11 11 10 18 14 10 13 8 25,E
7,# _ # _,15 10 10 10 18 15 9 13 7 25,E
8,_ _ _ #,16 10 9 10 18 16 9 14 6 25,D
9,_ # _ #,17 10 9 9 18 17 9 15 6 26,D
10,_ # _ #,18 10 9 8 18 18 9 16 6 27,D
11,_ # # _,18 9 9 7 18 19 9 17 6 28,C
12,_ # _ #,18 8 8 7 18 20 9 18 6 27,C
13,_ # _ #,18 7 7 7 18 21 9 19 6 26,C
14,_ _ _ #,19 7 6 7 18 22 9 20 6 25,C
15,_ # _ #,20 7 6 6 19 22 9 21 6 24,C
16,_ # _ #,21 7 6 5 20 22 9 22 6 23,C
17,_ _ _ _,21 6 6 4 21 22 8 22 6 22,C
18,_ # _ #,21 5 6 3 21 23 7 22 6 21,C
19,_ # _ #,21 4 5 3 21 24 6 22 6 20,C
20,_ # _ #,21 3 4 3 21 25 6 23 6 19,C
21,_ # _ #,22 3 3 3 21 26 6 24 6 18,C
22,_ # _ #,23 3 2 3 21 27 6 25 6 17,C
23,_ _ _ _,24 3 1 3 21 28 7 25 6 16,C
24,_ # _ #,25 3 1 4 22 28 8 25 6 15,C
25,_ # _ #,26 3 1 5 23 28 9 25 6 14,C
26,_ # _ #,26 4 1 6 24 28 10 25 6 13,C
27,_ # _ #,26 5 1 7 24 27 11 25 6 12,C
28,_ # _ #,26 6 2 7 24 26 12 25 6 11,C
29,_ # _ _,26 7 3 7 24 25 12 24 6 10,C
30,_ # _ #,25 7 4 7 25 25 12 23 6 9,C
31,_ # _ #,24 7 5 7 26 25 12 22 6 8,C
*****
